StatId	DisplayName_en	Description_en	DisplayName_ru	Description_ru	IconName
ARM_Amulet_Necklace_C_Silver_A	Burnished Necklace	Set with gems harvested from deep within the Underdark, this necklace has a dark lustre.	Начищенное ожерелье	Драгоценные камни из Подземья придают ожерелью некое мрачное очарование.	Item_LOOT_GEN_Amulet_Necklace_C_Silver_A
ARM_Amulet_Necklace_D_Bronze_Green	Bronze Pendant	The interlocked bronze links of this necklace tinkle softly every time you move.	Бронзовая подвеска	Бронзовые звенья цепочки тихо позвякивают при каждом движении.	Item_LOOT_GEN_Amulet_Necklace_D_Bronze_A
ARM_Amulet_Necklace_D_Gold_Blue	Gold Pendant	Heavily embossed with filigree, this necklace reflects light in all directions.	Золотая подвеска	Это ожерелье все покрыто филигранными узорами и ярко сверкает на свету.	Item_LOOT_GEN_Amulet_Necklace_D_Gold_A
ARM_Amulet_Necklace_D_Silver_Purple	Silver Pendant	This cold, heavy pendant is slow to warm to the touch.	Серебряная подвеска	Эта холодная, тяжелая подвеска долго не нагревается от тепла ладони.	Item_LOOT_GEN_Amulet_Necklace_D_Silver_A
ARM_Amulet_Necklace_E_Pearl_A	Pearl Necklace	Tiny rainbows reflect in the pearls' iridescent shine.	Жемчужное ожерелье	Жемчужины переливаются радужным сиянием.	Item_LOOT_GEN_Amulet_Necklace_E_Pearl_A
ARM_Amulet_Necklace_F_Bronze_A	Polished Necklace	Heavily set with gemstones, this necklace weighs more than expected.	Отполированное ожерелье	Из-за большого количества драгоценных камней это ожерелье весит больше, чем можно было бы ожидать.	Item_LOOT_GEN_Amulet_Necklace_F_Bronze_A
ARM_Amulet_Necklace_F_Gold_A	Polished Necklace	It is said that wearing a ruby near the heart will increase a lover's courage.	Отполированное ожерелье	Говорят, если носить у сердца рубин, то станешь смелее в любви.	Item_LOOT_GEN_Amulet_Necklace_F_Gold_A
ARM_Amulet_Necklace_F_Silver_B	Polished Necklace	Fine strips of silver snake around the emeralds in this necklace, holding them firmly in place.	Отполированное ожерелье	Это ожерелье сделано из изумрудов в прочной оправе из серебра.	Item_LOOT_GEN_Amulet_Necklace_F_Silver_A
ARM_Barbarian	Barbarian Clothes	A rough combination of furs, leathers, and supple fabrics, made for a life outside civilisation.	Одежды варвара	Грубо сшитая одежда из кусков меха, кожи и ткани, рассчитанная на жизнь за пределами цивилизации.	Item_ARM_Barbarian
ARM_Bard	Simple Jerkin		Простая куртка		Item_ARM_Robe_Bard_A
ARM_BootsOfDimensionalDoor	Spaceshunt Boots		Сапоги космической охоты		Generated_UNI_LOW_Boots_DimensionalDoor_Magic
ARM_BootsOfSpeed	Boots of Speed	Featherlaced and flexible of sole, these boots have been used to round up - and outrun - many a foe.	Башмаки скорости	Эти легкие и мягкие сапоги не единожды помогали владельцу догонять врагов... и сбегать от опасностей.	Generated_ARM_BootsOfSpeed_Magic
ARM_Boots_Leather	Illithid Carapace Boots		Сапоги из панциря иллитида		MAG_Illithid_Carapace_Boots
ARM_Boots_Leather_Druid	Grovetender Boots		Сапоги смотрителя рощи		Item_ARM_Boots_Leather_Druid
ARM_Boots_Metal	Metallic Boots	Scratched in places, scorched in others, and worn thin at the heel, these boots bear the indelible marks of experience.	Металлические сапоги	Исцарапанная, прожженная в разных местах кожа да стоптанные подошвы – эти сапоги многое повидали на своем веку.	Item_ARM_Boots_Metal
ARM_Boots_Metal_Githyanki	Githyanki Boots	Lavishly decorated boots, crafted on far-away planes from stolen metals and poached rubies.	Сапоги гитьянки	Богато украшенные сапоги, сработанные в далеких планах бытия из краденых металлов и украшенные похищенными рубинами.	Item_ARM_Boots_Metal_Githyanki
ARM_Breastplate_Body	Breastplate	This standard-sized breastplate is lined with thick padding meant to cushion the wearer and deflect blows from assailants. The uniform squares of the padding suggest a mathematically-minded crafter.	Нагрудник	Стандартный нагрудник со стеганой подкладкой, призванной смягчать удары по броне и уменьшать количество натертостей при ношении. Ровные квадратные стежки выдают в создателе математический склад ума.	Item_ARM_Breastplate_2
ARM_Breastplate_Body_1	Breastplate +1	This breastplate is crafted in the specialty style of a mysterious armourer in Amn known only as 'The Tailor.'	Нагрудник +1	Этот нагрудник изготовлен в узнаваемом стиле таинственного оружейника из Амна, известного под именем "Портной".	Item_ARM_BreastPlate_1_Magic
ARM_Breastplate_Body_2	Breastplate +2	This garment's previous owner left a few minor personal effects in its inner breast pocket: a scrap of sassafrass, a short bit of thread, and half a peppermint.	Нагрудник +2	Предыдущий владелец оставил во внутреннем кармане несколько вещей: кусок сассафрасса, обрывок нитки и листочек перечной мяты.	Generated_ARM_BreastPlate_2_Magic
ARM_Camp_Body_Astarion	Astarion's Eccentric Clothes	A once-fine shirt that's seen years of cuts, tears, and careful repairs. Clearly someone cares about looking good.	Эксцентричная одежда Астариона	Некогда отличная рубашка, за годы носки неоднократно порванная, кое-где протертая, но искусно заштопанная. Очевидно, кто-то заботится о том, чтобы хорошо выглядеть.	Generated_ARM_Camp_Body_Astarion
ARM_Camp_Body_Gale	Gale's Austere Clothes	Somehow Gale has managed to make his clothes smell like a library. To inhale their aroma is to feel a sudden urge to speak more quietly. Or pay a fine.	Строгая одежда Гейла	Каким-то образом Гейлу удалось придать своей одежде запах библиотеки. Когда вдыхаешь этот аромат, внезапно возникает острая потребность говорить потише. Или заплатить штраф за просрочку.	Generated_ARM_Camp_Body_Gale
ARM_Camp_Body_Halsin	Halsin's Grove Garments	Feeling the fabric, the strangest feeling occurs: your thumbs brush sun-dappled leaves, skim the water of a creek, tangle in the fur of some panting animal, heat and breath.	Одеяние из рощи Хальсина	Когда вы касаетесь ткани, возникает странное чувство: пальцы ворошат нагретые солнцем листья, скользят по воде ручья, путаются в шерсти какого-то сопящего животного... жар и дыхание.	Generated_ARM_Camp_Body_Halsin
ARM_Camp_Body_Jaheira	Jaheira's Respectable Clothes	Though humble in appearance, these clothes bear little hints at Jaheira's fashionability. Minimalism offset by the subtle hues shining brighter at night and softening in sunbeams.	Респектабельная одежда Джахейры	Несмотря на скромный внешний вид, эта одежда дает представление о чувстве стиля Джахейры. Минимализм компенсируется тонкими оттенками, которые сияют ярче ночью и смягчаются под лучами солнца.	Generated_ARM_Camp_Body_Jaheira
ARM_Camp_Body_Karlach	Karlach's Infernal Trousers	Torn and hell-scented, these trousers have seen a good deal of action - though not perhaps the sort Karlach might prefer.	Дьявольские штаны Карлах	Эти изорванные и смердящие преисподней штаны повидали немало приключений – хотя, возможно, не таких, какие предпочитает Карлах.	Generated_ARM_Camp_Body_Karlach
ARM_Camp_Body_Minsc	Minsc's Fantastical Relaxation Garb	To the metaphorical eye, an absolute fantasia of an outfit, declaiming Minsc as a style icon without equal. To the literal eye, this is a belt-buckle shirt/pants combo.	Чудесная одежда Минска для расслабления	Для метафорического глаза этот наряд – безудержная феерия стиля, провозглашающая Минска не знающим себе равных модником. Для реального глаза – это сочетание рубашки, пояса с пряжкой и штанов.	Generated_ARM_Camp_Body_Minsc
ARM_Camp_Body_Minthara	Minthara's At-Ease Clothes	While there is little of the spidery Goddess Lolth's influence in this outfit, there is something of spiney inflexible culture of the drow in it.	Свободная одежда Минтары	Хотя в этом наряде и не разглядеть влияния паучьей богини Ллос, в нем есть что-то от паучьей несгибаемости культуры дроу.	Generated_ARM_Camp_Body_Minthara
ARM_Camp_Body_Shadowheart	Shadowheart's Clothes	A little bar of standard-issue cloister soap is tucked into this outfit. It smells like lime and religious fervour.	Одежда Шэдоухарт	В это одеяние завернут маленький брусок обычного монастырского мыла, благоухающего лаймом и религиозным пылом.	Generated_ARM_Camp_Body_Shadowheart
ARM_Camp_Body_Wyll	Wyll's Earthy Garb	In his good-humoured performativity, Wyll could not resist a puff of perfume on these clothes. Possibly &lt;i&gt;eau du Frontiers&lt;/i&gt;.	Приземленная одежда Уилла	В своей добродушной показушности Уилл не удержался и нанес на эту одежду парфюм. Возможно, это &lt;i&gt;eau du Frontiers&lt;/i&gt;.	Generated_ARM_Camp_Body_Wyll
ARM_Camp_Shoes	Casual Shoes		Простые башмаки		
ARM_Camp_Shoes_E	Delicate Shoes	Patterned with twists of gold, lilac and sapphire, these delicate shoes are very reasonable for dancing, romancing, perhaps even prancing.	Изящные туфли	Эти изящные туфли, украшенные переливами золотого, сиреневого и сапфирового цветов, отлично подходят, чтобы танцевать, флиртовать или даже важно вышагивать.	Item_ARM_Camp_Shoes_E
ARM_Camp_Shoes_F	Pointed-Toe Shoes	The height of modern Sword Coastian fashion, provided you like being targetted by muggers and thugs and other interesting friendly people.	Туфли с острыми носами	Самый писк современной моды Побережья Мечей – при условии, что вам нравится быть мишенью для грабителей, разбойников и прочих интересных и дружелюбных ребят.	Item_ARM_Camp_Shoes_F
ARM_Camp_Shoes_Shadowheart	Acolyte's Sandals	This lightweight, cushioned footwear was designed for silent footfall in sacred places. 	Сандалии послушника	Эта легкая и мягкая обувь специально предназначена для бесшумной ходьбы в святых местах. 	Generated_ARM_Camp_Shoes_Shadowheart
ARM_ChainMail_Body	Chain Mail	The tight weave of chains in this armour chimes like wind through leaves.	Кольчужный доспех	Кольца в этой кольчуге шелестят, словно листья на ветру.	Item_ARM_ChainMail_2
ARM_ChainMail_Body_1	Chain Mail +1	Fine fabric obscures the bulk of this chain mail, allowing its wearer to mix in polite society while protecting them from unexpected assailants.	Кольчужный доспех +1	Эта кольчуга прячется под слоем добротной ткани, обеспечивая владельцу защиту и позволяя при этом не сильно выделяться в высшем свете.	Item_ARM_ChainMail_1
ARM_ChainMail_Body_2	Chain Mail +2	Made from thick, strong chains loosely-fitted, this armour hangs more heavily than some but protects its wearer with an impenetrable weave of metal.	Кольчужный доспех +2	Сделанная из толстых, крепких колец, эта кольчуга весит поболее многих, но и защищает владельца тоже отлично.	Item_ARM_ChainMail_2_Magic
ARM_ChainShirt_Body	Chain Shirt	Tight chains protect the wearer from sharp weapons, while fabric padding protects the skin from cold metal.	Кольчужная рубаха	Плотная кольчуга защищает владельца от острых лезвий, а стеганая подкладка не дает телу соприкасаться с металлом.	Item_ARM_ChainShirt_3
ARM_ChainShirt_Body_1	Chain Shirt +1	The intricate embroidery on the linen panel of this armour indicates the nobility of its previous owner.	Кольчужная рубаха +1	Судя по затейливой вышивке на котте, этот доспех когда-то принадлежал аристократу.	Item_ARM_ChainShirt_1
ARM_ChainShirt_Body_2	Chain Shirt +2	This mail's impossibly fine, close joining indicates the work of gnomish fingers.	Кольчужная рубаха +2	Судя по тончайшей работе, эту кольчугу плели гномы.	Item_ARM_ChainShirt_2
ARM_ChainShirt_Body_Destroyed	Damaged Chain Shirt	Your crash landing aboard the nautiloid has done serious damage to this garment.	Поврежденная кольчужная рубаха	Ваше падение на наутилоид изрядно повредило этот доспех.	Item_ARM_ChainShirt_Destroyed_Crash
ARM_ChainShirt_Body_Shar	Damaged Dark Justiciar Armour	Though time has tarnished this armour's metal and cracked its leather, the black sheen of Shar's symbol shines eternal from its chestpiece.	Поврежденный доспех темного юстициара	Металл этого доспеха потемнел от времени, а кожа растрескалась, но черный символ Шар на нагруднике по-прежнему блестит, как новый.	Item_ARM_ChainShirt_Justiciar
ARM_Circlet	Circlet	Provides its wearer a touch of elegance but no additional protection.	Обруч	Добавляет владельцу толику изящества, но не защиты.	Item_ARM_Circlet
ARM_CircletOfBlasting	Psychic Circlet	This delicate circlet grants its wearer the ability to cast the Scorching Ray spell.	Психический обруч	Этот изящный обруч дает владельцу способность использовать заклинание «Опаляющий луч».	Item_ARM_CircletOfBlasting
ARM_Cloak	Cloak		Плащ		Item_ARM_Cloak
ARM_Cloth_Body_1	Cloth Armour		Тканая броня		Generated_ARM_Cloth_A_1_Magic
ARM_Cloth_Body_2	Simple Cloth		Простая ткань		Generated_ARM_Cloth_A_2_Magic
ARM_DrunkGoblinRing	Crusher's Ring	Though caked with mud and grime, the ring smells faintly of lavender. Remarkable, considering where it's been.	Кольцо Хрупа	Это кольцо облеплено сажей и грязью, но источает легкий аромат лаванды. Очень странно, учитывая, где оно побывало.	Item_Quest_GOB_DrunkGoblin_Ring
ARM_Gloves_Leather	Netherstone Gauntlet of the Tyrant	Gortash's Lordly Gauntlets	Перчатки тирана с нетерийским камнем	Величавые рукавицы Горташа	Item_ARM_Gloves_Gortash_A
ARM_Gloves_Metal	Metallic Gloves	Made from steel hammered thin, these gauntlets are a fine investment for any warrior.	Металлические перчатки	Эти перчатки из тончайшей кованой стали – отличное приобретение для любого солдата.	Item_ARM_Gloves_Metal
ARM_Gloves_Metal_Githyanki	Githyanki Bracers	Forged from an amalgamation of metals, these bracers shine a million different shades of silver.	Наручи гитьянки	Эти выкованные из сплава нескольких металлов наручи сияют множеством оттенков серебра.	Generated_ARM_Bracers_Metal_Githyanki_B_Magic
ARM_HAG_Phylactery	Tarnished Charm	A menacing cackle emanates from this twisted charm. It whispers to bite, to maim, to kill...	Потемневший талисман	Уродливый артефакт издает зловещий клекот. Он грозится бить, калечить, убивать...	Item_EQ_HAG_Phylactery_GLOW
ARM_HalfPlate_Body	Half Plate Armour	This heavy, resilient breastplate is reinforced by a padded gambeson to protect soldiers from hip to neck.	Неполные латы	Этот тяжелый доспех состоит из стальных плит, закрепленных поверх стеганого гамбезона, защищающего солдата от паха до шеи.	Item_ARM_HalfPlate
ARM_HalfPlate_Body_1	Half Plate Armour +1	Heraldic runes are sewn into the padding of this armour, offering a gift of protection to whoever dons it.	Неполные латы +1	По стеганой ткани доспеха бежит руническая надпись, дарующая защиту владельцу.	Generated_ARM_HalfPlate_EndGame_Magic
ARM_HalfPlate_Body_2	Nightsinger's Half-Plate	Shar's aspect winds its way through the patterns and pauldrons of this half plate, and any light cast nearby seems to almost quiver away from it, afraid. For even the light knows that the clank of this armour is swiftly followed by a Dark Justiciar's silent blade. 	Полулаты Ночной Певуньи	Сквозь узоры на этом доспехе явственно проступает сущность Шар, и, кажется, что любой свет в страхе пытается обойти его стороной. Ведь даже свету известно, что за лязгом этой брони следует беззучный взмах клинка темного юстициара.	Item_ARM_ChainShirt_Justiciar
ARM_HalfPlate_Body_Githyanki	Githyanki Half Plate	This armour was forged to Vlaakith's standards under the exacting eye of a githyanki smith.	Неполные латы гитьянки	Этот доспех был выкован по стандартам Влаакит под тщательным присмотром кузнеца гитьянки.	Generated_ARM_HalfPlate_Githyanki_B
ARM_HalfPlate_Body_Githyanki_Destroyed	Damaged Githyanki Half Plate	Scorched, stained, and dented, this suit of githyanki armour has survived the unthinkable - and still endured.	Поврежденные неполные латы гитьянки	Этот обугленный, измаранный, помятый доспех гитьянки пережил невероятное... и уцелел.	Item_ARM_HalfPlate_Githyanki_Destroyed_Crash
ARM_Hat	Frumpy Hat	There is something of the frumpy explorer who keeps lots of cats in the aesthetic of this hat.	Безвкусная шляпа	Всё убранство этой шляпы кричит, что владелец – старомодный любитель приключений. И кошек.	Generated_ARM_Hat_Leather_A
ARM_Hat_MuffinHat_A	Ignoble Hat	Foppish and fluffy and built for just the right sort of dome accustomed to having it set upon the head by other people.	Неблагородная шляпа	Пижонский и расфуфыренный головной убор – Такой, который на голову владельца водружают специально обученные слуги.	Generated_ARM_Hat_MuffinHat_A
ARM_Hat_MuffinHat_B	Rufflesome Blaggart Hat	For the discerning raconteur, spinner of stories, and peacockish personality.	Шляпа горячащегося болтуна	Для взыскательных рассказчиков, закрученных сюжетов и самовлюбленных типов.	Generated_ARM_Hat_MuffinHat_B
ARM_Hat_Wizard_A	Wizard Hat	This wizardly hat has a little embroidered rabbit inside its lining - the rabbit is called Snowball, and once he was lost, never to be found. 	Шляпа волшебника	На подкладке этой шляпы волшебника вышит маленький кролик. Кролика зовут Снежок, и однажды он потерялся и так и не нашелся. 	Generated_ARM_Hat_Wizard_A
ARM_Hat_Wizard_B	Old Floppy Hat	Whacked around more often than a clown in a tragedy. 	Старая мягкая шляпа	Ее швыряли и кидали чаще, чем шута в трагедии. 	Generated_ARM_Hat_Wizard_B
ARM_Hat_Wizard_C	Bycocket	This wizardly hat has a little embroidered rabbit inside its lining - the rabbit is called Snowball, and once he was lost, never to be found. 	Байкокет	На подкладке этой шляпы волшебника вышит маленький кролик. Кролика зовут Снежок, и однажды он потерялся и так и не нашелся. 	Generated_ARM_Hat_Wizard_C
ARM_Hat_Wizard_D	Brimmed Hat	This wizardly hat has a little embroidered rabbit inside its lining - the rabbit is called Snowball, and once he was lost, never to be found. 	Шляпа с полями	На подкладке этой шляпы волшебника вышит маленький кролик. Кролика зовут Снежок, и однажды он потерялся и так и не нашелся. 	Generated_ARM_Hat_Wizard_D
ARM_Hat_Wizard_E	Embroidered Hat	Silvery wings spread over the stiff unyielding leather.	Вышитая шляпа	По жесткой неподатливой коже раскинулись серебристые крылья.	Generated_ARM_Hat_Wizard_E
ARM_Hat_Wizard_F	Embroidered Bycocket	Tapered to a precise point, such as the wizardly mind when focusing on a nice big dinner, instead of all these complicated spells.	Вышитый байкокет	Сходится в идеальную точку – как, например, ум волшебника, когда он думает об сытном ужине, а не обо всех этих заумных заклинаниях.	Generated_ARM_Hat_Wizard_F
ARM_Hat_Wizard_G	Wide-Brimmed Hat	Very wide brimmed, really. Almost a kind of grinning sombrero.	Широкополая шляпа	Очень, ОЧЕНЬ широкополая шляпа. Чем-то похожа на ухмыляющееся сомбреро.	Generated_ARM_Hat_Wizard_G
ARM_Hat_Wizard_H	Snakeskin Hat	As classic a design as one can hope for. It even has the frumpy wrinkles.	Шляпа из змеиной кожи	Самый что ни на есть классический дизайн. Даже со старомодными морщинами.	Generated_ARM_Hat_Wizard_H
ARM_HeadbandOfIntellect	Headband of Intellect	An elegant circlet, best worn by those with an affinity for the magical arts.	Обруч интеллекта	Элегантный обруч. Такие обычно носят приверженцы магических искусств.	Item_ARM_HeadbandOfIntellect
ARM_Helmet_Leather	Test Helmet	Layers of leather were boiled and moulded to create this rugged cap. It still smells a bit of tannins.	Шлем испытания	Этот потертый шлем изготовлен из нескольких слоев проваренной кожи. От него до сих пор разит танинами.	Item_ARM_Helmet_Leather
ARM_Helmet_Metal	Flaming Fist Helmet	Unadorned yet intimidating for that factor, this helm speaks to the quiet nobility and equally quiet dread the Fist inspire.	Шлем Огненного Кулака	Шлем никак не украшен – и от этого становится еще страшнее. От него исходит ощущение спокойного благородства и столь же спокойного ужаса, который внушает Огненный Кулак.	Item_ARM_Helmet_Metal_FlamingFist_A
ARM_Hide_Body	Hide Armour	Constructed from carefully-chosen animal hides tanned, hardened and varnished to a gleaming finish.	Сыромятный доспех	Изготовлено из тщательно выделанных, проваренных и отполированных шкур животных.	Item_ARM_Hide
ARM_Hide_Body_1	Hide Armour +1	Tight stitches bind panels of hard leather into a formfitting carapace that moves like a second skin.	Сыромятный доспех +1	Крупные куски кожи скреплены друг с другом суровой нитью, образуя доспех, сидящий на теле как влитой.	Item_ARM_Hide_1
ARM_Hide_Body_2	Hide Armour +2	This hide armour, soft to the touch but hard as a zaratan's hide, is stitched together of narrow panels allowing for the wearer's ease of movement and comfort.	Сыромятный доспех +2	Этот сыромятный доспех – мягкий на ощупь, но жесткий, словно шкура заратана, – сшит из нескольких больших кусков, что явно повышает подвижность того, на кого он надет.	Item_ARM_Hide_2
ARM_Instrument_Drum	Hand Drum	The skin and wood of this drum has been replaced countless times. Is it even the same instrument?	Малый барабан	Деревянные и кожаные части этого инструмента заменяли столько раз, что от первоначальных деталей уже ничего и не осталось. Можно ли его вообще считать тем же инструментом?..	Item_TOOL_GEN_Music_Drum_Small_A
ARM_Instrument_Flute	Flute	It is said Diores the Charming once lured a nest of harpies to their deaths, using only a flute.	Флейта	Говорят, Диорес Обаятельный когда-то с помощью одной лишь флейты заманил в смертельную ловушку целую стаю гарпий.	Item_TOOL_GEN_Music_Flute_A
ARM_Instrument_Lute_B	Lute	Many a bard's first instrument, the lute is heard in taverns all across Faerûn.	Лютня	Лютня — главный инструмент бардов. Ее звуки слышны во всех тавернах Фаэруна.	Item_TOOL_GEN_Music_Guitar_Lute_B
ARM_Instrument_Lyre	Lyre	Devotees of the goddess Sune hold that the lyre's seven strings represent the seven different forms of love. 	Лира	Почитатели богини Сунэ верят, что семь струн этой лиры символизируют семь видов любви.	Item_TOOL_GEN_Music_Lyre_A
ARM_Instrument_Violin	Violin	A violin of cedar and burled walnut. The pegs are a little scuffed, the strings thin and worn, but the song from this instrument would still ring clear and true.	Скрипка	Скрипка, сделанная из древесины кедра и ореха. Колки немного потерты, струны тонкие и изношенные, но мелодия на этом инструменте будет звучать чисто и правдиво.	Item_TOOL_GEN_Music_Viol_A
ARM_Jester_Hat	Cap and Bells	Tinkling, ringing, jangling, and about as festive as a terminal diagnosis.	Шапка с колокольчиками	Звенит, гремит и тренькает, веселая, как смертельный диагноз.	Generated_ARM_Jester_Hat
ARM_Leather_1_Red	Scarlet Leather Armour		Алый кожаный доспех		
ARM_Leather_Body	Leather Armour	Dark, messy stains line the armholes of the well-used leather breastplate.	Кожаный доспех	Края рукавных пройм этого кожаного нагрудника потемнели от долгого использования.	Item_ARM_Leather_3
ARM_Leather_Body_1	Leather Armour +1	This well-tailored leather tunic is reinforced by geometric quilting.	Кожаный доспех +1	Этот ладно скроенный кожаный доспех простеган геометрически правильными узорами.	Item_ARM_Leather_4
ARM_Leather_Body_2	Leather Armour +2	This armour is stitched together with thick, metal-lined cord, reinforcing it at the seams.	Кожаный доспех +2	Части этого доспеха скреплены металлизированными шнурами, что лишь добавляет ему надежности.	Item_ARM_Leather_2
ARM_Leather_Body_Destroyed	Damaged Leather Armour	Scorch marks, acid burns, and jagged tears indicate this leather armour has been to the Hells and back.	Поврежденный кожаный доспех	Судя по следам от ожогов, кислоты и мало ли чего еще, этот кожаный доспех побывал в аду.	Item_ARM_Leather_Destroyed_Crash
ARM_Leather_Body_Drow	Drow Leather Armour		Кожаный доспех дроу		Item_ARM_Leather_Drow
ARM_Leather_Body_Druid	Druid Leather Armour		Друидский кожаный доспех		Item_ARM_Leather_Druid_A
ARM_MerregonMask	Devilfoil Mask	A placid smile and cherubic cheeks. Who knows what face once lay beneath.	Маска из адского металла	Невинная улыбка и пухлые щечки-персики. Кто знает, что скрывается под ними.	Item_MerregonMask
ARM_Padded_Body	Padded Armour	A standard gambeson of quilted cloth. Good for catching blows, but almost unbearably sweaty.	Стеганый доспех	Стандартный стеганый гамбезон. Неплохо смягчает удары, но потеешь в нем – будь здоров.	Item_ARM_Padded_3
ARM_Padded_Body_1	Padded Armour +1	The quilting threads running through this padded vest seem to gleam in the rising sun.	Стеганый доспех +1	Нитки, которыми простегана эта броня, словно бы поблескивают в свете восходящего солнца.	Item_ARM_Padded_4
ARM_Padded_Body_2	Padded Armour +2		Стеганый доспех +2		Item_ARM_Padded_2_B
ARM_Padded_Body_Destroyed	Damaged Padded Armour	Scorching fire, jagged metallic edges, and destructive poison have turned this padded armour into a rag.	Поврежденный стеганый доспех	Огонь, яд и бесчисленные разрезы превратили этот стеганый доспех в лохмотья.	Item_ARM_Padded_Destroyed_Crash
ARM_Plate_Body	Plate Armour		Латы		Item_ARM_Plate
ARM_Plate_Body_1	Plate Armour +1		Латы +1		Item_ARM_Plate_1
ARM_Plate_Body_2	Plate Armour +2		Латы +2		Generated_ARM_Plate_2_Magic
ARM_Ring	Ring		Кольцо		Item_LOOT_GEN_Ring_A_Simple_Gold
ARM_RingMail_Body	Ring Mail Armour		Кольчатый доспех		Item_ARM_RingMail
ARM_RingMail_Body_1	Ring Mail Armour +1		Кольчатый доспех +1		Item_ARM_RingMail_1
ARM_RingMail_Body_2	Ring Mail Armour +2		Кольчатый доспех +2		Item_ARM_RingMail_2
ARM_RingOfPoisonResistance	Ring of Poison Resistance	The ring's emerald glows a deep, deadly green.	Кольцо устойчивости к яду	Вправленный в это кольцо изумруд грозно сияет насыщенным зеленым светом.	
ARM_Ring_A_Gem_A_Gold	Gold Ring	A date was once engraved on the inside of this ring, but most of it has long since been worn away by time.	Золотое кольцо	На внутренней стороне кольца некогда была выгравирована какая-то дата, но надпись со временем стерлась.	Item_LOOT_GEN_Ring_A_Gem_A_Gold
ARM_Ring_A_Simple_Gold	Tarnished Ring	A cheap ring marred by rust and a thin patina of neglect.	Потемневшее кольцо	Дешевое кольцо, грязное и ржавое.	Item_LOOT_GEN_Ring_A_Simple_Gold
ARM_Ring_B	Emerald Ring	Imported in bulk from Calimshan, the gemstone set in this ring is roughly finished and marred with visible flaws.	Кольцо с изумрудом	Такие изумруды в большом количестве привозили из Калимшана. Камень из конкретно этого кольца плохо обработан и явно с изъянами.	Item_LOOT_GEN_Ring_B
ARM_Ring_B_Gem_A_Gold	To the Best of Wives and Mothers	A tarnished ring engraved with the following: 'To Ffion, Best of Wives and Best of Mothers.'	Лучшей жене и лучшей матери	Потускневшее кольцо с гравировкой: «Ффионе, лучшей жене и лучшей матери».	Item_LOOT_GEN_Ring_B_Gem_A_Gold
